date,key_fingerprint,domain_count
2026-04-05,AEX+DQBBhgAgACBOxA1acRCL+qQIg7LD0TOn1r3rxY8D+Wu6ZTzZXyQ9LwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,169175
2026-04-05,AEX+DQBBnwAgACA6IQqnaFAkTqOXxZJyR0RgunYVMKQYcza0cen7/L+UPAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,23200
2026-04-05,AJT+DQBIBAAgACAaYs1o5iaLRiyrj9fLZ4E5RqQH3cKZezOugH0YEDQOHgAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ARE8AIAAge7ihqz/lzS7ZtRrAtlku/AH5kKQh72GHNDOSVEntIxEADAABAAEAAQACAAEAAx0NZWNoLmJlbHdheS5tZQAA,1
2026-04-05,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-04-06,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-04-06,AD3+DQA5QQAgACApFCpxK0dCoZvItKb8PhjxqpZcB8TvJSXS1EgDWesMPAAEAAEAAgAKY3liZXIuY2FmZQAA,1
2026-04-06,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-04-06,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-04-06,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,2
2026-04-06,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
